2026-02-10 11:01:22.955 +05:00 [INF] HTTP GET /api/health responded 307 in 6.9001 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:26.132 +05:00 [INF] HTTP GET /api/health responded 200 in 2557.3123 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:29.748 +05:00 [INF] HTTP GET /api/health responded 307 in 0.3195 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:29.832 +05:00 [INF] HTTP GET /api/health responded 200 in 19.4885 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:29.831872Z","uptime":"0d 0h 0m 3s"}
2026-02-10 11:01:33.164 +05:00 [INF] HTTP GET /api/health responded 307 in 0.1277 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:33.191 +05:00 [INF] HTTP GET /api/health responded 200 in 9.5969 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:33.1915114Z","uptime":"0d 0h 0m 7s"}
2026-02-10 11:01:33.325 +05:00 [INF] HTTP GET /api/health responded 307 in 0.1297 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:33.355 +05:00 [INF] HTTP GET /api/health responded 200 in 1.5381 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:33.3548851Z","uptime":"0d 0h 0m 7s"}
2026-02-10 11:01:38.489 +05:00 [INF] HTTP GET /api/health responded 307 in 0.0676 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:38.497 +05:00 [INF] HTTP GET /api/health responded 200 in 1.0659 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:38.4974015Z","uptime":"0d 0h 0m 12s"}
2026-02-10 11:01:38.565 +05:00 [INF] HTTP GET /api/health responded 307 in 0.0661 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:38.587 +05:00 [INF] HTTP GET /api/health responded 200 in 0.8558 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:38.5869694Z","uptime":"0d 0h 0m 12s"}
2026-02-10 11:01:43.663 +05:00 [INF] HTTP GET /api/health responded 307 in 0.0527 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:43.674 +05:00 [INF] HTTP GET /api/health responded 200 in 0.7945 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:43.6746296Z","uptime":"0d 0h 0m 17s"}
2026-02-10 11:01:43.740 +05:00 [INF] HTTP GET /api/health responded 307 in 0.0565 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
2026-02-10 11:01:43.761 +05:00 [INF] HTTP GET /api/health responded 200 in 0.6101 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-10T06:01:43.7614896Z","uptime":"0d 0h 0m 17s"}
2026-02-10 11:01:48.855 +05:00 [INF] HTTP GET /api/health responded 307 in 0.1008 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: 
