2026-02-11 12:30:36.499 +05:00 [INF] HTTP GET /api/health responded 200 in 2103.0624 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:36.2825186Z","uptime":"0d 0h 0m 0s"}
2026-02-11 12:30:36.500 +05:00 [INF] HTTP GET /api/health responded 200 in 2099.2201 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:36.2824906Z","uptime":"0d 0h 0m 0s"}
2026-02-11 12:30:36.499 +05:00 [INF] HTTP GET /api/health responded 200 in 2102.7587 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:36.2823999Z","uptime":"0d 0h 0m 0s"}
2026-02-11 12:30:36.500 +05:00 [INF] HTTP GET /api/health responded 200 in 2099.6838 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:36.2825584Z","uptime":"0d 0h 0m 0s"}
2026-02-11 12:30:36.499 +05:00 [INF] HTTP GET /api/health responded 200 in 2101.5774 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:36.2825112Z","uptime":"0d 0h 0m 0s"}
2026-02-11 12:30:36.499 +05:00 [INF] HTTP GET /api/health responded 200 in 2103.1095 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:36.2824506Z","uptime":"0d 0h 0m 0s"}
2026-02-11 12:30:38.156 +05:00 [INF] HTTP GET /api/health responded 200 in 13.5935 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:38.1556221Z","uptime":"0d 0h 0m 1s"}
2026-02-11 12:30:44.065 +05:00 [INF] HTTP GET /api/health responded 200 in 1.8271 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:44.0646317Z","uptime":"0d 0h 0m 7s"}
2026-02-11 12:30:48.128 +05:00 [INF] HTTP GET /api/health responded 200 in 1.0610 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-11T07:30:48.1283227Z","uptime":"0d 0h 0m 11s"}
2026-02-11 12:30:52.758 +05:00 [INF] User haris@gmail.com logged in successfully. UserId: 23
2026-02-11 12:30:52.785 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 12530.5780 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"accessToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIyMyIsImVtYWlsIjoiaGFyaXNAZ21haWwuY29tIiwidW5pcXVlX25hbWUiOiJoYXJpcyIsImh0dHA6Ly9zY2hlbWFzLm1pY3Jvc29mdC5jb20vd3MvMjAwOC8wNi9pZGVudGl0eS9jbGFpbXMvcm9sZSI6IkFkbWluIiwiU2Vzc2lvbklkIjoiOGE1OWQ5NGMtMzE4ZS00MmUxLTlkY2YtYTYyZmRkODI0MjA2IiwiZXhwIjoxNzcwODAyMjUyLCJpc3MiOiJNeUNvbXBhbnkiLCJhdWQiOiJNeUNvbXBhbnlVc2VycyJ9.2MC8HrA69zAALFIU2Qo7BTskTpfPdC_Gxh7XZBh858E","refreshToken":"9bd0a6a1-43c3-4afd-b56f-4adc275ccee1","userName":"haris"}
