2026-02-12 15:35:36.948 +05:00 [INF] HTTP GET /api/Health responded 200 in 1020.9419 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T10:35:36.8265056Z","uptime":"0d 0h 0m 0s"}
2026-02-12 15:35:46.649 +05:00 [INF] HTTP GET /api/Health/detailed responded 200 in 2854.8785 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","version":"1.0.0","timestamp":"2026-02-12T10:35:46.4975228Z","uptime":"0d 0h 0m 9s","checks":{"database":{"status":"Healthy","responseTime":"2626ms","message":"Database connection successful"},"memory":{"status":"Healthy","memoryUsage":"93 MB"}}}
2026-02-12 18:36:32.183 +05:00 [INF] HTTP GET /api/health responded 200 in 697.8506 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:32.1428464Z","uptime":"0d 0h 0m 0s"}
2026-02-12 18:36:32.183 +05:00 [INF] HTTP GET /api/health responded 200 in 697.8414 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:32.1428236Z","uptime":"0d 0h 0m 0s"}
2026-02-12 18:36:35.939 +05:00 [INF] HTTP GET /api/health responded 200 in 5.3564 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:35.9389826Z","uptime":"0d 0h 0m 3s"}
2026-02-12 18:36:40.951 +05:00 [INF] HTTP GET /api/health responded 200 in 0.7494 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:40.9513269Z","uptime":"0d 0h 0m 8s"}
2026-02-12 18:36:42.708 +05:00 [INF] User haris@gmail.com logged in successfully. UserId: 23
2026-02-12 18:36:42.721 +05:00 [INF] HTTP POST /api/auth/login responded 200 in 4659.5187 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"accessToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIyMyIsImVtYWlsIjoiaGFyaXNAZ21haWwuY29tIiwidW5pcXVlX25hbWUiOiJoYXJpcyIsImh0dHA6Ly9zY2hlbWFzLm1pY3Jvc29mdC5jb20vd3MvMjAwOC8wNi9pZGVudGl0eS9jbGFpbXMvcm9sZSI6IkFkbWluIiwiU2Vzc2lvbklkIjoiZTE5NTA3MTYtZTJiNS00MGY0LWIwNjctZDE3MjIzZGI3MDViIiwiZXhwIjoxNzcwOTEwNjAyLCJpc3MiOiJNeUNvbXBhbnkiLCJhdWQiOiJNeUNvbXBhbnlVc2VycyJ9.5fltGxqbTJU9C3VB_22K6JN6r4MEAIH3KPji6lJA3F8","refreshToken":"7ba0bdb5-02e7-40ea-a8bc-720d8a1d7902","userName":"haris"}
2026-02-12 18:36:45.926 +05:00 [INF] HTTP GET /api/health responded 200 in 1.7258 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:45.9262764Z","uptime":"0d 0h 0m 13s"}
2026-02-12 18:36:50.928 +05:00 [INF] HTTP GET /api/health responded 200 in 1.1525 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:50.9279137Z","uptime":"0d 0h 0m 18s"}
2026-02-12 18:36:55.927 +05:00 [INF] HTTP GET /api/health responded 200 in 1.0254 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:36:55.9276498Z","uptime":"0d 0h 0m 23s"}
2026-02-12 18:37:02.132 +05:00 [INF] HTTP GET /api/health responded 200 in 0.4656 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:02.1321866Z","uptime":"0d 0h 0m 29s"}
2026-02-12 18:37:06.210 +05:00 [INF] HTTP GET /api/health responded 200 in 0.8699 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:06.2103941Z","uptime":"0d 0h 0m 34s"}
2026-02-12 18:37:10.922 +05:00 [INF] HTTP GET /api/health responded 200 in 0.9741 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:10.921941Z","uptime":"0d 0h 0m 38s"}
2026-02-12 18:37:16.001 +05:00 [INF] HTTP GET /api/health responded 200 in 0.8113 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:16.0012855Z","uptime":"0d 0h 0m 43s"}
2026-02-12 18:37:20.931 +05:00 [INF] HTTP GET /api/health responded 200 in 1.0552 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:20.9308837Z","uptime":"0d 0h 0m 48s"}
2026-02-12 18:37:25.982 +05:00 [INF] HTTP GET /api/health responded 200 in 0.4753 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:25.9821692Z","uptime":"0d 0h 0m 53s"}
2026-02-12 18:37:30.941 +05:00 [INF] HTTP GET /api/health responded 200 in 0.9933 ms | User: Anonymous (N/A) | IP: ::1 | RequestBody:  | ResponseBody: {"service":"SSO API","status":"Healthy","timestamp":"2026-02-12T13:37:30.9413817Z","uptime":"0d 0h 0m 58s"}
